ID,Name,Internal Name
2687,Sapphire Gemspark Wall,SapphireGemsparkWall
2688,Offline Sapphire Gemspark Wall,SapphireGemsparkWallOff
2689,Topaz Gemspark Wall,TopazGemsparkWall
2690,Offline Topaz Gemspark Wall,TopazGemsparkWallOff
2691,Tin Plating Wall,TinPlatingWall
2692,Tin Plating,TinPlating
2693,Waterfall Block,WaterfallBlock
2694,Lavafall Block,LavafallBlock
2695,Confetti Block,ConfettiBlock
2696,Confetti Wall,ConfettiWall
2697,Midnight Confetti Block,ConfettiBlockBlack
2698,Midnight Confetti Wall,ConfettiWallBlack
2699,Weapon Rack,WeaponRack
2700,Fireworks Box,FireworksBox
2701,Living Fire Block,LivingFireBlock
2702,0' Statue,AlphabetStatue0
2703,1' Statue,AlphabetStatue1
2704,2' Statue,AlphabetStatue2
2705,3' Statue,AlphabetStatue3
2706,4' Statue,AlphabetStatue4
2707,5' Statue,AlphabetStatue5
2708,6' Statue,AlphabetStatue6
2709,7' Statue,AlphabetStatue7
2710,8' Statue,AlphabetStatue8
2711,9' Statue,AlphabetStatue9
2712,A' Statue,AlphabetStatueA
2713,B' Statue,AlphabetStatueB
2714,C' Statue,AlphabetStatueC
2715,D' Statue,AlphabetStatueD
2716,E' Statue,AlphabetStatueE
2717,F' Statue,AlphabetStatueF
2718,G' Statue,AlphabetStatueG
2719,H' Statue,AlphabetStatueH
2720,I' Statue,AlphabetStatueI
2721,J' Statue,AlphabetStatueJ
2722,K' Statue,AlphabetStatueK
2723,L' Statue,AlphabetStatueL
2724,M' Statue,AlphabetStatueM
2725,N' Statue,AlphabetStatueN
2726,O' Statue,AlphabetStatueO
2727,P' Statue,AlphabetStatueP
2728,Q' Statue,AlphabetStatueQ
2729,R' Statue,AlphabetStatueR
2730,S' Statue,AlphabetStatueS
2731,T' Statue,AlphabetStatueT
2732,U' Statue,AlphabetStatueU
2733,V' Statue,AlphabetStatueV
2734,W' Statue,AlphabetStatueW
2735,X' Statue,AlphabetStatueX
2736,Y' Statue,AlphabetStatueY
2737,Z' Statue,AlphabetStatueZ
2738,Firework Fountain,FireworkFountain
2739,Booster Track,BoosterTrack
2740,Grasshopper,Grasshopper
2741,Grasshopper Cage,GrasshopperCage
2742,Music Box (Underground Crimson),MusicBoxUndergroundCrimson
2743,Cactus Table,CactusTable
2744,Cactus Platform,CactusPlatform
2745,Boreal Wood Sword,BorealWoodSword
2746,Boreal Wood Hammer,BorealWoodHammer
2747,Boreal Wood Bow,BorealWoodBow
2748,Glass Chest,GlassChest
2749,Xeno Staff,XenoStaff
2750,Meteor Staff,MeteorStaff
2751,Living Cursed Fire Block,LivingCursedFireBlock
2752,Living Demon Fire Block,LivingDemonFireBlock
2753,Living Frost Fire Block,LivingFrostFireBlock
2754,Living Ichor Block,LivingIchorBlock
2755,Living Ultrabright Fire Block,LivingUltrabrightFireBlock
2756,Gender Change Potion,GenderChangePotion
2757,Vortex Helmet,VortexHelmet
2758,Vortex Breastplate,VortexBreastplate
2759,Vortex Leggings,VortexLeggings
2760,Nebula Helmet,NebulaHelmet
2761,Nebula Breastplate,NebulaBreastplate
2762,Nebula Leggings,NebulaLeggings
2763,Solar Flare Helmet,SolarFlareHelmet
2764,Solar Flare Breastplate,SolarFlareBreastplate
2765,Solar Flare Leggings,SolarFlareLeggings
2766,Solar Tablet Fragment,LunarTabletFragment
2767,Solar Tablet,SolarTablet
2768,Drill Containment Unit,DrillContainmentUnit
2769,Cosmic Car Key,CosmicCarKey
2770,Mothron Wings,MothronWings
2771,Brain Scrambler,BrainScrambler
2772,Vortex Axe,VortexAxe
2773,Vortex Chainsaw,VortexChainsaw
2774,Vortex Drill,VortexDrill
2775,Vortex Hammer,VortexHammer
2776,Vortex Pickaxe,VortexPickaxe
2777,Nebula Axe,NebulaAxe
2778,Nebula Chainsaw,NebulaChainsaw
2779,Nebula Drill,NebulaDrill
2780,Nebula Hammer,NebulaHammer
2781,Nebula Pickaxe,NebulaPickaxe
2782,Solar Flare Axe,SolarFlareAxe
2783,Solar Flare Chainsaw,SolarFlareChainsaw
2784,Solar Flare Drill,SolarFlareDrill
2785,Solar Flare Hammer,SolarFlareHammer
2786,Solar Flare Pickaxe,SolarFlarePickaxe
2787,Honeyfall Block,HoneyfallBlock
2788,Honeyfall Wall,HoneyfallWall
2789,Chlorophyte Brick Wall,ChlorophyteBrickWall
2790,Crimtane Brick Wall,CrimtaneBrickWall
2791,Shroomite Plating Wall,ShroomitePlatingWall
2792,Chlorophyte Brick,ChlorophyteBrick
2793,Crimtane Brick,CrimtaneBrick
2794,Shroomite Plating,ShroomitePlating
2795,Laser Machinegun,LaserMachinegun
2796,Electrosphere Launcher,ElectrosphereLauncher
2797,Xenopopper,Xenopopper
2798,Laser Drill,LaserDrill
2799,Mechanical Ruler,LaserRuler
2800,Anti-Gravity Hook,AntiGravityHook
2801,Moon Mask,MoonMask
2802,Sun Mask,SunMask
2803,Martian Costume Mask,MartianCostumeMask
2804,Martian Costume Shirt,MartianCostumeShirt
2805,Martian Costume Pants,MartianCostumePants
2806,Martian Uniform Helmet,MartianUniformHelmet
2807,Martian Uniform Torso,MartianUniformTorso
2808,Martian Uniform Pants,MartianUniformPants
2809,Martian Astro Clock,MartianAstroClock
2810,Martian Bathtub,MartianBathtub
2811,Martian Bed,MartianBed
2812,Martian Hover Chair,MartianHoverChair
2813,Martian Chandelier,MartianChandelier
2814,Martian Chest,MartianChest
2815,Martian Door,MartianDoor
2816,Martian Dresser,MartianDresser
2817,Martian Holobookcase,MartianHolobookcase
2818,Martian Hover Candle,MartianHoverCandle
2819,Martian Lamppost,MartianLamppost
2820,Martian Lantern,MartianLantern
2821,Martian Piano,MartianPiano
2822,Martian Platform,MartianPlatform
2823,Martian Sofa,MartianSofa
2824,Martian Table,MartianTable
2825,Martian Table Lamp,MartianTableLamp
2826,Martian Work Bench,MartianWorkBench
2827,Wooden Sink,WoodenSink
2828,Ebonwood Sink,EbonwoodSink
2829,Rich Mahogany Sink,RichMahoganySink
2830,Pearlwood Sink,PearlwoodSink
2831,Bone Sink,BoneSink
2832,Flesh Sink,FleshSink
2833,Living Wood Sink,LivingWoodSink
2834,Skyware Sink,SkywareSink
2835,Shadewood Sink,ShadewoodSink
2836,Lihzahrd Sink,LihzahrdSink
2837,Blue Dungeon Sink,BlueDungeonSink
2838,Green Dungeon Sink,GreenDungeonSink
2839,Pink Dungeon Sink,PinkDungeonSink
2840,Obsidian Sink,ObsidianSink
2841,Metal Sink,MetalSink
2842,Glass Sink,GlassSink
2843,Golden Sink,GoldenSink
2844,Honey Sink,HoneySink
2845,Steampunk Sink,SteampunkSink
2846,Pumpkin Sink,PumpkinSink
2847,Spooky Sink,SpookySink
2848,Frozen Sink,FrozenSink
2849,Dynasty Sink,DynastySink
2850,Palm Wood Sink,PalmWoodSink
2851,Mushroom Sink,MushroomSink
2852,Boreal Wood Sink,BorealWoodSink
2853,Slime Sink,SlimeSink
2854,Cactus Sink,CactusSink
2855,Martian Sink,MartianSink
2856,Solar Cultist Hood,WhiteLunaticHood
2857,Lunar Cultist Hood,BlueLunaticHood
2858,Solar Cultist Robe,WhiteLunaticRobe
2859,Lunar Cultist Robe,BlueLunaticRobe
2860,Martian Conduit Plating,MartianConduitPlating
2861,Martian Conduit Wall,MartianConduitWall
2862,HiTek Sunglasses,HiTekSunglasses
2863,Martian Hair Dye,MartianHairDye
2864,Martian Dye,MartianArmorDye
2865,Castle Marsberg,PaintingCastleMarsberg
2866,Martia Lisa,PaintingMartiaLisa
2867,The Truth Is Up There,PaintingTheTruthIsUpThere
2868,Smoke Block,SmokeBlock
2869,Living Flame Dye,LivingFlameDye
2870,Living Rainbow Dye,LivingRainbowDye
2871,Shadow Dye,ShadowDye
2872,Negative Dye,NegativeDye
2873,Living Ocean Dye,LivingOceanDye
2874,Brown Dye,BrownDye
2875,Brown and Black Dye,BrownAndBlackDye
2876,Bright Brown Dye,BrightBrownDye
2877,Brown and Silver Dye,BrownAndSilverDye
2878,Wisp Dye,WispDye
2879,Pixie Dye,PixieDye
2880,Influx Waver,InfluxWaver
2881,Phasic Warp Ejector,PhasicWarpEjector
2882,Charged Blaster Cannon,ChargedBlasterCannon
2883,Chlorophyte Dye,ChlorophyteDye
2884,Unicorn Wisp Dye,UnicornWispDye
2885,Infernal Wisp Dye,InfernalWispDye
2886,Vicious Powder,ViciousPowder
2887,Vicious Mushroom,ViciousMushroom
2888,The Bee's Knees,BeesKnees
2889,Gold Bird,GoldBird
2890,Gold Bunny,GoldBunny
2891,Gold Butterfly,GoldButterfly
2892,Gold Frog,GoldFrog
2893,Gold Grasshopper,GoldGrasshopper
2894,Gold Mouse,GoldMouse
2895,Gold Worm,GoldWorm
2896,Sticky Dynamite,StickyDynamite
2897,Angry Trapper Banner,AngryTrapperBanner
2898,Armored Viking Banner,ArmoredVikingBanner
2899,Black Slime Banner,BlackSlimeBanner
2900,Blue Armored Bones Banner,BlueArmoredBonesBanner
2901,Blue Cultist Archer Banner,BlueCultistArcherBanner
2902,Lunatic Devotee Banner,BlueCultistCasterBanner
2903,Blue Cultist Fighter Banner,BlueCultistFighterBanner
2904,Bone Lee Banner,BoneLeeBanner
2905,Clinger Banner,ClingerBanner
2906,Cochineal Beetle Banner,CochinealBeetleBanner
2907,Corrupt Penguin Banner,CorruptPenguinBanner
2908,Corrupt Slime Banner,CorruptSlimeBanner
2909,Corruptor Banner,CorruptorBanner
2910,Crimslime Banner,CrimslimeBanner
2911,Cursed Skull Banner,CursedSkullBanner
2912,Cyan Beetle Banner,CyanBeetleBanner
2913,Devourer Banner,DevourerBanner
2914,Diabolist Banner,DiablolistBanner
2915,Doctor Bones Banner,DoctorBonesBanner
2916,Dungeon Slime Banner,DungeonSlimeBanner
2917,Dungeon Spirit Banner,DungeonSpiritBanner
2918,Elf Archer Banner,ElfArcherBanner
2919,Elf Copter Banner,ElfCopterBanner
2920,Eyezor Banner,EyezorBanner
2921,Flocko Banner,FlockoBanner
2922,Ghost Banner,GhostBanner
2923,Giant Bat Banner,GiantBatBanner
2924,Giant Cursed Skull Banner,GiantCursedSkullBanner
2925,Giant Flying Fox Banner,GiantFlyingFoxBanner
2926,Gingerbread Man Banner,GingerbreadManBanner
2927,Goblin Archer Banner,GoblinArcherBanner
2928,Green Slime Banner,GreenSlimeBanner
2929,Headless Horseman Banner,HeadlessHorsemanBanner
2930,Hell Armored Bones Banner,HellArmoredBonesBanner
2931,Hellhound Banner,HellhoundBanner
2932,Hoppin' Jack Banner,HoppinJackBanner
2933,Ice Bat Banner,IceBatBanner
2934,Ice Golem Banner,IceGolemBanner
2935,Ice Slime Banner,IceSlimeBanner
2936,Ichor Sticker Banner,IchorStickerBanner
2937,Illuminant Bat Banner,IlluminantBatBanner
2938,Illuminant Slime Banner,IlluminantSlimeBanner
2939,Jungle Bat Banner,JungleBatBanner
2940,Jungle Slime Banner,JungleSlimeBanner
2941,Krampus Banner,KrampusBanner
2942,Lac Beetle Banner,LacBeetleBanner
2943,Lava Bat Banner,LavaBatBanner
2944,Lava Slime Banner,LavaSlimeBanner
2945,Martian Brainscrambler Banner,MartianBrainscramblerBanner
2946,Martian Drone Banner,MartianDroneBanner
2947,Martian Engineer Banner,MartianEngineerBanner
2948,Martian Gigazapper Banner,MartianGigazapperBanner
2949,Martian Gray Grunt Banner,MartianGreyGruntBanner
2950,Martian Officer Banner,MartianOfficerBanner
2951,Martian Ray Gunner Banner,MartianRaygunnerBanner
2952,Martian Scutlix Gunner Banner,MartianScutlixGunnerBanner
2953,Martian Tesla Turret Banner,MartianTeslaTurretBanner
2954,Mister Stabby Banner,MisterStabbyBanner
2955,Mother Slime Banner,MotherSlimeBanner
2956,Necromancer Banner,NecromancerBanner
2957,Nutcracker Banner,NutcrackerBanner
2958,Paladin Banner,PaladinBanner
2959,Penguin Banner,PenguinBanner
2960,Pinky Banner,PinkyBanner
2961,Poltergeist Banner,PoltergeistBanner
2962,Possessed Armor Banner,PossessedArmorBanner
2963,Present Mimic Banner,PresentMimicBanner
2964,Purple Slime Banner,PurpleSlimeBanner
2965,Ragged Caster Banner,RaggedCasterBanner
2966,Rainbow Slime Banner,RainbowSlimeBanner
2967,Raven Banner,RavenBanner
2968,Red Slime Banner,RedSlimeBanner
2969,Rune Wizard Banner,RuneWizardBanner
2970,Rusty Armored Bones Banner,RustyArmoredBonesBanner
2971,Scarecrow Banner,ScarecrowBanner
2972,Scutlix Banner,ScutlixBanner
2973,Skeleton Archer Banner,SkeletonArcherBanner
2974,Skeleton Commando Banner,SkeletonCommandoBanner
2975,Skeleton Sniper Banner,SkeletonSniperBanner
2976,Slimer Banner,SlimerBanner
2977,Snatcher Banner,SnatcherBanner
2978,Snow Balla Banner,SnowBallaBanner
2979,Snowman Gangsta Banner,SnowmanGangstaBanner
2980,Spiked Ice Slime Banner,SpikedIceSlimeBanner
2981,Spiked Jungle Slime Banner,SpikedJungleSlimeBanner
2982,Splinterling Banner,SplinterlingBanner
2983,Squid Banner,SquidBanner
2984,Tactical Skeleton Banner,TacticalSkeletonBanner
2985,The Groom Banner,TheGroomBanner
2986,Tim Banner,TimBanner
2987,Undead Miner Banner,UndeadMinerBanner
2988,Undead Viking Banner,UndeadVikingBanner
2989,White Cultist Archer Banner,WhiteCultistArcherBanner
2990,White Cultist Caster Banner,WhiteCultistCasterBanner
2991,White Cultist Fighter Banner,WhiteCultistFighterBanner
2992,Yellow Slime Banner,YellowSlimeBanner
2993,Yeti Banner,YetiBanner
2994,Zombie Elf Banner,ZombieElfBanner
2995,Sparky,SparkyPainting
2996,Vine Rope,VineRope
2997,Wormhole Potion,WormholePotion
2998,Summoner Emblem,SummonerEmblem
2999,Bewitching Table,BewitchingTable
3000,Alchemy Table,AlchemyTable
3001,Strange Brew,StrangeBrew
3002,Spelunker Glowstick,SpelunkerGlowstick
3003,Bone Arrow,BoneArrow
3004,Bone Torch,BoneTorch
3005,Vine Rope Coil,VineRopeCoil
3006,Life Drain,SoulDrain
3007,Dart Pistol,DartPistol
3008,Dart Rifle,DartRifle
3009,Crystal Dart,CrystalDart
3010,Cursed Dart,CursedDart
3011,Ichor Dart,IchorDart
3012,Chain Guillotines,ChainGuillotines
3013,Fetid Baghnakhs,FetidBaghnakhs
3014,Clinger Staff,ClingerStaff
3015,Putrid Scent,PutridScent
3016,Flesh Knuckles,FleshKnuckles
3017,Flower Boots,FlowerBoots
3018,Seedler,Seedler
3019,Hellwing Bow,HellwingBow
3020,Tendon Hook,TendonHook
3021,Thorn Hook,ThornHook
3022,Illuminant Hook,IlluminantHook
3023,Worm Hook,WormHook
3024,Skiphs' Blood,DevDye
3025,Purple Ooze Dye,PurpleOozeDye
3026,Reflective Silver Dye,ReflectiveSilverDye
3027,Reflective Gold Dye,ReflectiveGoldDye
3028,Blue Acid Dye,BlueAcidDye
3029,Daedalus Stormbow,DaedalusStormbow
3030,Flying Knife,FlyingKnife
3031,Bottomless Water Bucket,BottomlessBucket
3032,Super Absorbant Sponge,SuperAbsorbantSponge
3033,Gold Ring,GoldRing
3034,Coin Ring,CoinRing
3035,Greedy Ring,GreedyRing
3036,Fish Finder,FishFinder
3037,Weather Radio,WeatherRadio
3038,Hades Dye,HadesDye
3039,Twilight Dye,TwilightDye
3040,Acid Dye,AcidDye
3041,Glowing Mushroom Dye,MushroomDye
3042,Phase Dye,PhaseDye
3043,Magic Lantern,MagicLantern
3044,Music Box (Lunar Boss),MusicBoxLunarBoss
3045,Rainbow Torch,RainbowTorch
3046,Cursed Campfire,CursedCampfire
3047,Demon Campfire,DemonCampfire
3048,Frozen Campfire,FrozenCampfire
3049,Ichor Campfire,IchorCampfire
3050,Rainbow Campfire,RainbowCampfire
3051,Crystal Vile Shard,CrystalVileShard
3052,Shadowflame Bow,ShadowFlameBow
3053,Shadowflame Hex Doll,ShadowFlameHexDoll
3054,Shadowflame Knife,ShadowFlameKnife
3055,Acorns,PaintingAcorns
3056,Cold Snap,PaintingColdSnap
3057,Cursed Saint,PaintingCursedSaint
3058,Snowfellas,PaintingSnowfellas
3059,The Season,PaintingTheSeason
3060,Bone Rattle,BoneRattle
3061,Architect Gizmo Pack,ArchitectGizmoPack
3062,Crimson Heart,CrimsonHeart
3063,Meowmere,Meowmere
3064,Enchanted Sundial,Sundial
3065,Star Wrath,StarWrath
3066,Smooth Marble Block,MarbleBlock
3067,Hellstone Brick Wall,HellstoneBrickWall
3068,Guide to Plant Fiber Cordage,CordageGuide
3069,Wand of Sparking,WandofSparking
3070,Gold Bird Cage,GoldBirdCage
3071,Gold Bunny Cage,GoldBunnyCage
3072,Gold Butterfly Jar,GoldButterflyCage
3073,Gold Frog Cage,GoldFrogCage
3074,Gold Grasshopper Cage,GoldGrasshopperCage
3075,Gold Mouse Cage,GoldMouseCage
3076,Gold Worm Cage,GoldWormCage
3077,Silk Rope,SilkRope
3078,Web Rope,WebRope
3079,Silk Rope Coil,SilkRopeCoil
3080,Web Rope Coil,WebRopeCoil
3081,Marble Block,Marble
3082,Marble Wall,MarbleWall
3083,Smooth Marble Wall,MarbleBlockWall
3084,Radar,Radar
3085,Golden Lock Box,LockBox
3086,Granite Block,Granite
3087,Smooth Granite Block,GraniteBlock
3088,Granite Wall,GraniteWall
3089,Smooth Granite Wall,GraniteBlockWall
3090,Royal Gel,RoyalGel
3091,Key of Night,NightKey
3092,Key of Light,LightKey
3093,Herb Bag,HerbBag
3094,Javelin,Javelin
3095,Tally Counter,TallyCounter
3096,Sextant,Sextant
3097,Shield of Cthulhu,EoCShield
3098,Butcher's Chainsaw,ButchersChainsaw
3099,Stopwatch,Stopwatch
3100,Meteorite Brick,MeteoriteBrick
3101,Meteorite Brick Wall,MeteoriteBrickWall
3102,Metal Detector,MetalDetector
3103,Endless Quiver,EndlessQuiver
3104,Endless Musket Pouch,EndlessMusketPouch
3105,Toxic Flask,ToxicFlask
3106,Psycho Knife,PsychoKnife
3107,Nail Gun,NailGun
3108,Nail,Nail
3109,Night Vision Helmet,NightVisionHelmet
3110,Celestial Shell,CelestialShell
3111,Pink Gel,PinkGel
3112,Bouncy Glowstick,BouncyGlowstick
3113,Pink Slime Block,PinkSlimeBlock
3114,Pink Torch,PinkTorch
3115,Bouncy Bomb,BouncyBomb
3116,Bouncy Grenade,BouncyGrenade
3117,Peace Candle,PeaceCandle
3118,Lifeform Analyzer,LifeformAnalyzer
3119,DPS Meter,DPSMeter
3120,Fisherman's Pocket Guide,FishermansGuide
3121,Goblin Tech,GoblinTech
3122,R.E.K. 3000,REK
3123,PDA,PDA
3124,Cell Phone,CellPhone
3125,Granite Chest,GraniteChest
3126,Meteorite Clock,MeteoriteClock
3127,Marble Clock,MarbleClock
3128,Granite Clock,GraniteClock
3129,Meteorite Door,MeteoriteDoor
3130,Marble Door,MarbleDoor
3131,Granite Door,GraniteDoor
3132,Meteorite Dresser,MeteoriteDresser
3133,Marble Dresser,MarbleDresser
3134,Granite Dresser,GraniteDresser
3135,Meteorite Lamp,MeteoriteLamp
3136,Marble Lamp,MarbleLamp
3137,Granite Lamp,GraniteLamp
3138,Meteorite Lantern,MeteoriteLantern
3139,Marble Lantern,MarbleLantern
3140,Granite Lantern,GraniteLantern
3141,Meteorite Piano,MeteoritePiano
3142,Marble Piano,MarblePiano
3143,Granite Piano,GranitePiano
3144,Meteorite Platform,MeteoritePlatform
3145,Marble Platform,MarblePlatform
3146,Granite Platform,GranitePlatform
3147,Meteorite Sink,MeteoriteSink
3148,Marble Sink,MarbleSink
3149,Granite Sink,GraniteSink
3150,Meteorite Sofa,MeteoriteSofa
3151,Marble Sofa,MarbleSofa
3152,Granite Sofa,GraniteSofa
3153,Meteorite Table,MeteoriteTable
3154,Marble Table,MarbleTable
3155,Granite Table,GraniteTable
3156,Meteorite Work Bench,MeteoriteWorkBench
3157,Marble Work Bench,MarbleWorkBench
3158,Granite Work Bench,GraniteWorkBench
3159,Meteorite Bathtub,MeteoriteBathtub
3160,Marble Bathtub,MarbleBathtub
3161,Granite Bathtub,GraniteBathtub
3162,Meteorite Bed,MeteoriteBed
3163,Marble Bed,MarbleBed
3164,Granite Bed,GraniteBed
3165,Meteorite Bookcase,MeteoriteBookcase
3166,Marble Bookcase,MarbleBookcase
3167,Granite Bookcase,GraniteBookcase
3168,Meteorite Candelabra,MeteoriteCandelabra
3169,Marble Candelabra,MarbleCandelabra
3170,Granite Candelabra,GraniteCandelabra
3171,Meteorite Candle,MeteoriteCandle
3172,Marble Candle,MarbleCandle
3173,Granite Candle,GraniteCandle
3174,Meteorite Chair,MeteoriteChair
3175,Marble Chair,MarbleChair
3176,Granite Chair,GraniteChair
3177,Meteorite Chandelier,MeteoriteChandelier
3178,Marble Chandelier,MarbleChandelier
3179,Granite Chandelier,GraniteChandelier
3180,Meteorite Chest,MeteoriteChest
3181,Marble Chest,MarbleChest
3182,Magic Water Dropper,MagicWaterDropper
3183,Golden Bug Net,GoldenBugNet
3184,Magic Lava Dropper,MagicLavaDropper
3185,Magic Honey Dropper,MagicHoneyDropper
3186,Empty Dropper,EmptyDropper
3187,Gladiator Helmet,GladiatorHelmet
3188,Gladiator Breastplate,GladiatorBreastplate
3189,Gladiator Leggings,GladiatorLeggings
3190,Reflective Dye,ReflectiveDye
3191,Enchanted Nightcrawler,EnchantedNightcrawler
3192,Grubby,Grubby
3193,Sluggy,Sluggy
3194,Buggy,Buggy
3195,Grub Soup,GrubSoup
3196,Bomb Fish,BombFish
3197,Frost Daggerfish,FrostDaggerfish
3198,Sharpening Station,SharpeningStation
3199,Ice Mirror,IceMirror
3200,Sailfish Boots,SailfishBoots
3201,Tsunami in a Bottle,TsunamiInABottle
3202,Target Dummy,TargetDummy
3203,Corrupt Crate,CorruptFishingCrate
3204,Crimson Crate,CrimsonFishingCrate
3205,Dungeon Crate,DungeonFishingCrate
3206,Sky Crate,FloatingIslandFishingCrate
3207,Hallowed Crate,HallowedFishingCrate
3208,Jungle Crate,JungleFishingCrate
3209,Crystal Serpent,CrystalSerpent
3210,Toxikarp,Toxikarp
3211,Bladetongue,Bladetongue
3212,Shark Tooth Necklace,SharkToothNecklace
3213,Money Trough,MoneyTrough
3214,Bubble,Bubble
3215,Daybloom Planter Box,DayBloomPlanterBox
3216,Moonglow Planter Box,MoonglowPlanterBox
3217,Deathweed Planter Box,CorruptPlanterBox
3218,Deathweed Planter Box,CrimsonPlanterBox
3219,Blinkroot Planter Box,BlinkrootPlanterBox
3220,Waterleaf Planter Box,WaterleafPlanterBox
3221,Shiverthorn Planter Box,ShiverthornPlanterBox
3222,Fireblossom Planter Box,FireBlossomPlanterBox
3223,Brain of Confusion,BrainOfConfusion
3224,Worm Scarf,WormScarf
3225,Balloon Pufferfish,BalloonPufferfish
3226,Lazure's Valkyrie Circlet,BejeweledValkyrieHead
3227,Lazure's Valkyrie Cloak,BejeweledValkyrieBody
3228,Lazure's Barrier Platform,BejeweledValkyrieWing
3229,Golden Cross Grave Marker,RichGravestone1
3230,Golden Tombstone,RichGravestone2
3231,Golden Grave Marker,RichGravestone3
3232,Golden Gravestone,RichGravestone4
3233,Golden Headstone,RichGravestone5
3234,Crystal Block,CrystalBlock
3235,Music Box (Martian Madness),MusicBoxMartians
3236,Music Box (Pirate Invasion),MusicBoxPirates
3237,Music Box (Hell),MusicBoxHell
3238,Crystal Block Wall,CrystalBlockWall
3239,Trap Door,Trapdoor
3240,Tall Gate,TallGate
3241,Sharkron Balloon,SharkronBalloon
3242,Tax Collector's Hat,TaxCollectorHat
3243,Tax Collector's Suit,TaxCollectorSuit
3244,Tax Collector's Pants,TaxCollectorPants
3245,Bone Glove,BoneGlove
3246,Clothier's Jacket,ClothierJacket
3247,Clothier's Pants,ClothierPants
3248,Dye Trader's Turban,DyeTraderTurban
3249,Deadly Sphere Staff,DeadlySphereStaff
3250,Green Horseshoe Balloon,BalloonHorseshoeFart
3251,Amber Horseshoe Balloon,BalloonHorseshoeHoney
3252,Pink Horseshoe Balloon,BalloonHorseshoeSharkron
3253,Lava Lamp,LavaLamp
3254,Enchanted Nightcrawler Cage,CageEnchantedNightcrawler
3255,Buggy Cage,CageBuggy
3256,Grubby Cage,CageGrubby
3257,Sluggy Cage,CageSluggy
3258,Slap Hand,SlapHand
3259,Twilight Hair Dye,TwilightHairDye
3260,Blessed Apple,BlessedApple
3261,Spectre Bar,SpectreBar
3262,Code 1,Code1
3263,Buccaneer Bandana,BuccaneerBandana
3264,Buccaneer Tunic,BuccaneerShirt
3265,Buccaneer Pantaloons,BuccaneerPants
3266,Obsidian Outlaw Hat,ObsidianHelm
3267,Obsidian Longcoat,ObsidianShirt
3268,Obsidian Pants,ObsidianPants
3269,Medusa Head,MedusaHead
3270,Item Frame,ItemFrame
3271,Sandstone Block,Sandstone
3272,Hardened Sand Block,HardenedSand
3273,Sandstone Wall,SandstoneWall
3274,Hardened Ebonsand Block,CorruptHardenedSand
3275,Hardened Crimsand Block,CrimsonHardenedSand
3276,Ebonsandstone Block,CorruptSandstone
3277,Crimsandstone Block,CrimsonSandstone
3278,Wooden Yoyo,WoodYoyo
3279,Malaise,CorruptYoyo
3280,Artery,CrimsonYoyo
3281,Amazon,JungleYoyo
3282,Cascade,Cascade
3283,Chik,Chik
3284,Code 2,Code2
3285,Rally,Rally
3286,Yelets,Yelets
3287,Red's Throw,RedsYoyo
3288,Valkyrie Yoyo,ValkyrieYoyo
3289,Amarok,Amarok
3290,Hel-Fire,HelFire
3291,Kraken,Kraken
3292,The Eye of Cthulhu,TheEyeOfCthulhu
3293,Red String,RedString
3294,Orange String,OrangeString
3295,Yellow String,YellowString
3296,Lime String,LimeString
3297,Green String,GreenString
3298,Teal String,TealString
3299,Cyan String,CyanString
3300,Sky Blue String,SkyBlueString
3301,Blue String,BlueString
3302,Purple String,PurpleString
3303,Violet String,VioletString
3304,Pink String,PinkString
3305,Brown String,BrownString
3306,White String,WhiteString
3307,Rainbow String,RainbowString
3308,Black String,BlackString
3309,Black Counterweight,BlackCounterweight
3310,Blue Counterweight,BlueCounterweight
3311,Green Counterweight,GreenCounterweight
3312,Purple Counterweight,PurpleCounterweight
3313,Red Counterweight,RedCounterweight
3314,Yellow Counterweight,YellowCounterweight
3315,Format:C,FormatC
3316,Gradient,Gradient
3317,Valor,Valor
3318,Treasure Bag,KingSlimeBossBag
3319,Treasure Bag,EyeOfCthulhuBossBag
3320,Treasure Bag,EaterOfWorldsBossBag
3321,Treasure Bag,BrainOfCthulhuBossBag
3322,Treasure Bag,QueenBeeBossBag
3323,Treasure Bag,SkeletronBossBag
3324,Treasure Bag,WallOfFleshBossBag
3325,Treasure Bag,DestroyerBossBag
3326,Treasure Bag,TwinsBossBag
3327,Treasure Bag,SkeletronPrimeBossBag
3328,Treasure Bag,PlanteraBossBag
3329,Treasure Bag,GolemBossBag
3330,Treasure Bag,FishronBossBag
3331,Treasure Bag,CultistBossBag
3332,Treasure Bag,MoonLordBossBag
3333,Hive Pack,HiveBackpack
3334,Yoyo Glove,YoYoGlove
3335,Demon Heart,DemonHeart
3336,Spore Sac,SporeSac
3337,Shiny Stone,ShinyStone
3338,Hardened Pearlsand Block,HallowHardenedSand
3339,Pearlsandstone Block,HallowSandstone
3340,Hardened Sand Wall,HardenedSandWall
3341,Hardened Ebonsand Wall,CorruptHardenedSandWall
3342,Hardened Crimsand Wall,CrimsonHardenedSandWall
3343,Hardened Pearlsand Wall,HallowHardenedSandWall
3344,Ebonsandstone Wall,CorruptSandstoneWall
3345,Crimsandstone Wall,CrimsonSandstoneWall
3346,Pearlsandstone Wall,HallowSandstoneWall
3347,Desert Fossil,DesertFossil
3348,Desert Fossil Wall,DesertFossilWall
3349,Exotic Scimitar,DyeTradersScimitar
3350,Paintball Gun,PainterPaintballGun
